"PERIODO","NOMBRE_FACULTAD","NOMBRE_PROGRAMA","JORNADA","MODALIDAD","NOMBRE_SEDE","ORIGEN_GEOGRAFICO","FECHA_NACIMIENTO","GENERO","ESTRATO","NOMBRE_ESTADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS","BIOLOGIA","DIURNA","PRESENCIAL","TUNJA","TUNJA","2-Aug-98","F","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS AGROPECUARIAS","INGENIERIA AGRONOMICA","DIURNA","PRESENCIAL","TUNJA","TUNJA","2-Mar-95","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS AGROPECUARIAS","INGENIERIA AGRONOMICA","DIURNA","PRESENCIAL","TUNJA","TUNJA","30-Apr-99","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS AGROPECUARIAS","MEDICINA VETERINARIA Y ZOOTECNIA","DIURNA","PRESENCIAL","TUNJA","TUNJA","20-Jun-00","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS DE LA EDUCACION","LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES","DIURNA","PRESENCIAL","TUNJA","TUNJA","26-Mar-96","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS DE LA EDUCACION","LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES","DIURNA","PRESENCIAL","TUNJA","TUNJA","1-Dec-95","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS DE LA EDUCACION","LICENCIATURA EN IDIOMAS MODERNOS ESPAÑOL-INGLÉS","DIURNA","PRESENCIAL","TUNJA","TUNJA","16-Nov-95","F","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS DE LA EDUCACION","LICENCIATURA EN LENGUAS EXTRANJERAS","DIURNA","PRESENCIAL","TUNJA","TUNJA","26-Apr-93","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","CIENCIAS DE LA EDUCACION","LICENCIATURA EN MUSICA","DIURNA","PRESENCIAL","TUNJA","TUNJA","30-Nov-96","F","2","NO MATRICULADO"
"PRIMER  SEMESTRE DE 2019","DERECHO Y CIENCIAS  SOCIALES","DERECHO","DIURNA","PRESENCIAL","TUNJA","TUNJA","31-May-90","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","INGENIERIA","INGENIERIA AMBIENTAL","DIURNA","PRESENCIAL","TUNJA","TUNJA","24-Oct-89","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","INGENIERIA","INGENIERIA CIVIL","DIURNA","PRESENCIAL","TUNJA","TUNJA","2-Apr-95","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","INGENIERIA","INGENIERIA CIVIL","DIURNA","PRESENCIAL","TUNJA","TUNJA","2-Mar-96","F","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","INGENIERIA","INGENIERIA DE SISTEMAS Y COMPUTACION","DIURNA","PRESENCIAL","TUNJA","TUNJA","9-Dec-99","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","INGENIERIA","INGENIERIA DE SISTEMAS Y COMPUTACION","DIURNA","PRESENCIAL","TUNJA","TUNJA","24-Dec-94","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","INGENIERIA","INGENIERIA DE TRANSPORTE Y VIAS","DIURNA","PRESENCIAL","TUNJA","TUNJA","21-Feb-96","M","2","RETIRADO CON CUPO RESERVADO"
"PRIMER  SEMESTRE DE 2019","INGENIERIA","INGENIERIA DE TRANSPORTE Y VIAS","DIURNA","PRESENCIAL","TUNJA","TUNJA","16-Apr-97","F","2","RETIRADO CON CUPO RESERVADO"
